,dishwaser_6_Trans_V7_loss,dishwaser_6_Trans_V7_val,dishwaser_6_Trans_V7_time,dishwaser_6_Trans_V7_nep,dishwaser_6_Trans_V7_f1e,dishwaser_6_Trans_V7_mae,dishwaser_6_Trans_V7_mse,dishwaser_6_Trans_V7_accuracy,dishwaser_6_Trans_V7mcc,dishwaser_6_Trans_V7_precision,dishwaser_6_Trans_V7_f1,dishwaser_6_Trans_V7_recall
0,1464.319092,434.6218262,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
1,573.1052246,267.8288879,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
2,520.6696777,132.5627594,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
3,496.9123535,293.4689941,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
4,500.6975708,204.504303,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
5,464.8167114,390.8321533,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
6,448.2492371,300.5375061,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
7,425.8901978,441.0575867,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
8,367.6499023,269.7624512,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
9,347.0683594,220.3909302,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
10,340.204895,246.6135406,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
11,330.3021851,261.2591858,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
12,339.0367126,461.2705994,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
13,332.6403809,373.7465515,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
14,314.3929138,346.379303,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
15,301.9511719,325.449646,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
16,296.6904297,305.7690125,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
17,295.8976135,292.0694275,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
18,287.296936,273.9134827,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
19,285.4725342,259.8531799,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
20,285.0939026,272.1730652,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
21,283.6959534,263.7122192,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
22,282.556366,262.8130188,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
23,280.7597046,260.5181274,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
24,280.5457764,260.9065552,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
25,280.3260193,259.4798584,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
26,280.175354,259.7811584,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
27,279.9874573,258.055542,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
28,279.5771484,259.0867004,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
29,279.5378113,258.9640503,3183.011219,2.84234603,0.410519302,144.6218566,44919.86191,0.088765505,0.030497359,0.994535519,0.027534039,0.013960267
